date,sector,uniqcode,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,prmom1d_f,prmom1w_f,prmom2w_f,prmom3w_f,mom13,mom14
2017/2/28,45,R3HCP3,0.038625966,0.474219755,0.415771259,0.824540349,-3.795213667,-11.69192645,-12.05267494,-10.91921668,1.794594899,10.48160662,8.088847646,6.294252747,-1.186379208,-0.607544036,2.347007731,8.68420552,1.233693685,-0.54020977
2017/2/28,35,R3JBJ0,-1.39320202,-0.883355383,3.258303288,-2.083266571,3.900891143,2.119116568,6.528249183,10.52754466,-4.883813734,-3.920222299,-6.076510132,-1.192696398,1.278158471,0.263645999,-4.564143646,-4.024855266,-0.419003587,0.574727058
2017/2/28,40,R3QF7V,0.436855725,-0.059526141,-0.90280984,-2.618860784,1.179753647,2.60442355,10.58969189,2.578659031,4.50673738,4.545238294,11.24019104,6.73345366,0.448256188,1.017759957,1.939629551,4.038111179,-1.230156626,1.415415764
2017/2/28,45,R4N5ZQ,0.356157263,-0.216429206,1.132544485,-0.389862495,1.393529881,-1.773220197,9.524218647,2.601343668,-3.578917233,-2.216499473,1.692131436,5.271048669,-0.248949208,0.214569523,1.481521325,0.841491182,0.009776579,0.042854428
2017/2/28,45,R4SH5R,-0.303437457,-2.095228343,-1.117715611,1.893208771,7.676797608,9.985729294,11.23867939,10.26283753,-1.073036438,5.50445217,7.052969038,8.126005476,1.310970792,0.792072863,2.795055499,7.570793429,0.019526873,0.107424557
2017/2/28,35,R4SVX3,-0.441909442,0.849598123,3.013999802,-1.696335059,-3.406148644,-7.417477958,-11.14599337,-5.553921528,8.452752763,4.834462408,1.610500515,-6.842252248,0.102698471,1.925729722,2.242971216,2.855409281,0.406102225,-0.888741493
2017/2/28,25,R5Y379,-2.228192631,-1.904949489,5.870572571,2.869946892,3.294452411,3.31365174,7.880124184,12.29860931,8.439884989,4.223214129,5.920847261,-2.519037728,-2.088772594,-2.615943521,-3.215765573,-2.547111804,-0.759123834,-1.05538559
2017/2/28,45,R85KLC,-0.011016104,0.235052388,0.666837764,1.69302197,3.302837981,7.972842636,9.190547789,13.46697715,1.540088759,-2.661782256,-8.605456055,-10.14554481,0.524730792,1.919332782,1.390820298,2.682164969,-2.5,0.621831894
2017/2/28,10,RCF7LV,0.658284774,2.818680674,3.011614753,3.880953911,3.761741643,-0.108232686,-3.777237864,0.573746706,1.449112816,0.041889083,-9.283063341,-10.73217616,-0.213494048,1.13537598,6.206779278,4.503223187,1.029268851,-0.891856194
2017/2/28,20,RCF8NW,-1.801710223,-1.676572638,-1.291933087,-0.914715023,-0.863193904,-2.440185833,7.094220266,8.641488858,8.543967483,3.933056986,2.967686581,-5.576280902,0.633531681,1.910966562,1.891492056,4.009714151,-1.172571061,1.315757752
