date,sector,uniqcode,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,prmom1d_f,prmom1w_f,prmom2w_f,prmom3w_f,mom13,mom14,pred
2017/2/1,45,BGT3MW,0.357848817,0.09826687,-1.471248229,1.193469676,0.789376929,2.41862244,-0.408897761,-5.51993222,-8.589696147,-14.46104004,-13.4698601,-4.880163953,-0.782508875,-0.404100668,-1.063492798,2.160775771,0.31907703,0.107956111,17.22211107
2017/2/1,45,BHM9TN,-0.853202413,-1.455783285,0.967974141,-0.2246925,2.196480732,8.280294501,3.375623101,-10.90219092,-12.87340631,-17.21547811,-21.73467613,-8.86126982,-2.101208875,-0.477539852,-3.805155229,-2.842728761,-2.5,-0.667589664,2.719577517
2017/2/1,35,BHXVXH,-1.198935144,-3.350434049,-4.551618489,0.083996312,0.050053347,6.839722343,-5.031798158,-10.03358772,-14.93339166,-21.53413699,-23.54163442,-8.608242766,-0.534433043,-0.838530372,3.502253582,7.258803502,-0.002746582,0.307597876,4.400150941
2017/2/1,25,BJMMFY,-2.254304314,-3.147577767,-2.006099275,2.384328172,6.770610852,3.35451334,2.169674615,0.739885418,-9.22750442,-4.528736193,-3.857627613,5.369876807,-0.610716368,-2.901950412,-2.438940529,-3.142864085,0.047792033,-0.011325538,-1.969682816
2017/2/1,45,BLGD5P,-0.573584186,-0.204221364,0.186763402,-3.782833968,-3.662061955,-5.33324038,-9.493903359,-13.95551718,-13.77465082,-18.11219908,-16.76175423,-2.987103407,0.141111125,-12.1003687,-15.19800777,-15.18500648,0.67219375,-0.049995214,2.503560528
2017/2/1,10,BMJYPP,0.043004023,-2.373740972,-3.600750203,-2.662374058,-0.308319239,-2.003538144,-3.747050171,-13.14205471,-1.055783425,3.057240753,15.44768298,16.50346641,-0.83684747,-6.961786234,-5.306888694,-2.08364847,0.907453981,0.969097138,3.320970888
2017/2/1,35,BN0VR9,-0.568017831,1.322634577,2.634141314,-0.949294602,1.11324047,-3.932964894,-2.757763783,3.56311356,6.294224811,15.11574016,12.74163372,6.447408909,0.910366957,0.887255676,-0.241507935,1.89211337,0.306441393,-0.429473162,-3.191310685
2017/2/1,25,BNFKCM,0.604355896,0.929182234,0.643232756,0.864701585,-4.267457068,-7.277932276,-9.953136354,-10.94042265,-1.442749907,-6.675338623,-7.661755744,-6.219005837,0.555443632,3.515197108,4.090837327,-0.483388243,0.340409956,-0.040486783,-4.629697473
2017/2/1,45,BNKYQQ,0.878023851,0.827336328,0.034302616,0.167959692,-1.337134615,-3.914312411,-3.394078161,0.559926017,-0.275309169,5.358997328,-0.713048513,-0.437739344,0.139521125,-1.213836317,-1.852904064,-1.41289272,0.659998914,-0.099147201,6.939440989
2017/2/1,45,BNL2ZV,0.373814764,0.30147902,-1.233223575,-3.851189305,-5.245797943,-4.50332667,-8.272470402,-19.75913601,-13.07043954,-21.2916753,-26.4977036,-13.42726407,-0.335388875,6.672699559,8.663083259,12.08655902,1.087854735,0.403845787,2.922756746
