,date,sector,uniqcode,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,prmom1d_f,prmom1w_f,prmom2w_f,prmom3w_f,mom13,mom14,pred,min,max,Average,std,median,mad,kurt,skew,real_choose,pred_choose,pred_bay,pred_deep,pred_linear,pred_gussian,pred_ridge,pred_SGD,pred_svr,pred_gradient,pred_adaboost,tens_pred,keras_pred,pred_essemble
10,2017-02-01,25,B4KM2X,2.645741416,4.1291930919999995,5.552457584,6.380635696000001,7.03093184,1.480261733,8.891715354,21.1588009,10.14379171,6.059560917000001,9.5967237,-0.547068006,-1.8748663680000002,-3.678718237,-0.6859009509999999,1.8818605119999998,-0.41617956700000003,-0.882174969,3.41056872,-3.678718237,25.0,5.2638667538,7.292619906852945,3.769880906,,,,0,1,0.4669368260625761,2.951337216703703,1.1973691294054385,-3.479110744616939e-42,1.1973688218305747,1350552596460.1646,0.5244586770000528,0.8426303744744584,2.0005885863793096,,,1.1410177
11,2017-02-01,35,B4KXP6,2.578480374,3.731886142,1.287509795,-1.8209965890000002,0.20783951399999998,-10.17086349,-12.85535598,-12.48374073,-4.540836059,-4.189871073,-9.782426968,-5.241590909,-1.032093043,-3.7970452860000004,0.537667869,-5.423036705,2.5,-1.299333572,-4.12455999,-12.85535598,35.0,-1.5459183350000003,9.891041685014706,-2.8090209375,,,,1,1,0.32611225111026243,-1.8609156048234223,-0.04705153574705645,1.8150733980266524e-23,-0.04707933002912501,454233367181.9505,0.5254177622722437,3.327343590668449,1.7273104040676874,,,0.8625025
12,2017-02-01,45,B4L9DK,-0.385375444,-0.032337577,-0.38708615700000004,0.745926676,0.66350915,-0.669731514,3.706158828,-0.017256513,1.611215562,7.51621545,-4.191697184,-5.802912745,-1.774908875,-2.3682519330000003,-2.618113941,-3.975033119,0.10455462199999999,0.322947025,-0.287080481,-5.802912745,45.0,1.8580370915000004,10.54658852924373,-0.159709029,,,,1,0,0.3200915070001053,0.1709299172807922,-0.5089082518067489,-2.138281100928689e-22,-0.5087561831952985,1517532067299.6213,0.5217262873751763,0.161297413431091,0.019111623460869902,,,0.43086585
13,2017-02-01,40,B4Q0H1,-1.099760369,-0.813396543,6.071666796000001,5.616930439,6.025281484,5.260226188,10.32697061,16.72351933,15.72371364,18.24320862,29.53288753,13.80917389,-0.060266710999999994,-0.36997989,0.467987379,1.7041862769999998,-1.872439062,-3.114974976,1.3599822819999998,-3.114974976,40.0,8.1767458457,11.34310847301032,5.4385783135,,,,0,0,0.43700840116036643,3.3938816608710796,1.584395152026429,6.0216770224895204e-83,1.5833736294133764,2458155885821.1997,0.5244626252402268,3.0741496003323197,0.9054958582849358,,,-0.58299845
14,2017-02-01,55,B5VTSN,-0.166376587,0.006630756,1.706879055,-0.728222907,-1.098042746,0.289892272,-5.192092624,-3.5008568760000003,-9.051441877,-9.283260914,-14.58794394,-5.536502065,-0.222620667,-0.23346144,-0.248160278,-0.55380961,0.42137032700000004,-0.39464044600000003,2.330914658,-14.58794394,55.0,0.4479127045500001,13.538968748850507,-0.321400362,,,,0,1,0.31178146201002177,-0.8790385063612748,0.07146808457090692,-5.744388184779433e-14,0.07161080135968989,449153273494.1371,0.5088287000037569,0.4783138532913314,0.8311468727915488,,,0.55974495
15,2017-02-01,20,B6BKJ3,-0.26698998,0.045474908,0.335213169,3.253903053,6.04196704,6.320237574,22.33407247,23.12746465,12.90160227,5.94244043,6.828897405,-6.07270486,1.850776295,0.989106622,0.938581195,0.695975879,-0.730139531,0.24487865,1.012879473,-6.07270486,23.12746465,5.2896818356,8.12392065234711,1.431827884,,,,1,0,0.46564310320508717,3.38828036092967,0.5299013482007162,1.2977291891514921e-70,0.5298027527004562,1198526915059.3213,0.5244626250024427,0.5315420170256917,-1.02073791478692,,,0.49937972
16,2017-02-01,40,B6VPNM,-1.683112398,-1.315458205,-1.145166788,0.433377932,0.053709242000000004,4.240920146000001,1.9714622380000002,7.513883858,7.823442857000001,6.365183622999999,7.416455403,-0.40698745399999997,-4.653096711,-4.18571208,-1.886592623,-4.644493009,-0.451315763,0.45591449700000003,0.365670303,-4.653096711,40.0,2.8134042534,9.59119559016316,0.20968977249999998,,,,1,0,0.3659247036426595,0.996462923697066,0.4384116147671001,8.97615067646597e-07,0.43842194362439535,1356730493479.5251,0.6827131650808879,1.4818686332822448,0.382720138890785,,,0.58118266
17,2017-02-01,45,B700XP,1.424438193,0.39972037,-0.591037618,-1.9233147309999998,-0.725575495,-1.992490954,-1.1616667509999998,-5.5998407310000005,2.215360392,-7.669734625,-9.50314601,-11.718506399999999,-2.856808875,-5.691718692,-5.0429863,-5.8472111579999995,0.197021965,2.326768875,-1.758758275,-11.718506399999999,45.0,-0.5259743409999997,11.385583654623796,-1.8410365029999998,,,,1,0,0.3022679368068941,-2.075887815972148,-0.7728416072215611,3.4022674254089886e-12,-0.7720203726628254,493704601621.086,0.5391953362865914,-0.8070588190394707,-1.357694673705883,,,-1.3896986
18,2017-02-01,20,B7YG19,1.5022578619999998,1.653528069,0.208246189,0.342588767,0.598798693,0.7710859959999999,-3.67609324,-8.065200307000001,-9.503380084,-0.130840662,-3.8209399810000004,5.682440102999999,-2.004213705,2.0730293769999997,-0.978134671,2.629073773,0.31482983,-0.08225089299999999,0.7692142829999999,-9.503380084,20.0,0.4142019699499998,5.782625457109024,0.32870929849999997,,,,0,0,0.43206878892279943,0.9124564386023065,0.40576412609484924,1.9026913270993055e-19,0.40583019434140877,472130539128.9026,0.5292989903780495,-0.09962958997727595,1.2044763586642862,,,0.58518773
19,2017-02-01,35,B7YJ5C,-2.4019606280000003,-3.3102343339999996,-3.72919445,-2.930190612,0.149003346,-2.460702396,2.709536688,-8.526832963,2.741569568,3.028545929,-4.746764176,-7.488333745,0.09372695699999999,1.434539218,-0.241573973,5.000402225,-0.020839383,0.378262758,5.045469284,-8.526832963,35.0,0.9862214656500001,8.822571526201529,0.03644378699999999,,,,0,1,0.3165226984104461,-0.8318604307362764,-0.7214616901279451,-2.1189470145996e-25,-0.7216053117575083,919469586296.3845,0.5238678210570255,0.35574850034692995,1.2622258233018862,,,-1.1724503
20,2017-02-01,45,B7YWWQ,-0.912320217,-0.653608576,-0.08804826199999999,-6.640466393,-3.574367459,-6.236525896,-7.33167691,-1.152333404,2.279127465,-0.266231499,2.976923778,0.697796313,-2.207148875,-5.135273531,-5.16746503,-2.089099636,0.430461614,-0.278382301,0.241551424,-7.33167691,45.0,0.4946456302500001,10.880853098679498,-0.7829643964999999,,,,1,0,0.31854584250205853,-2.5706727950808976,0.1979864364130488,-3.645010401478429e-17,0.19775957297893898,879532706077.6101,0.5192107172223268,0.2274573762532586,1.2341472666858972,,,0.47447345
21,2017-02-01,25,B82TCD,0.680420583,-0.298459885,-0.15458016900000002,-2.056486491,-4.013449712,-4.013410479,-6.231277703,-8.215414584,9.956985386,3.8678487039999996,-11.39703394,-21.35401932,1.6222936319999999,2.033532164,0.190288824,-1.2057782559999999,0.818181039,0.059306026,8.957549728,-21.35401932,25.0,-0.2876752226499998,9.049115144227112,-0.04763707150000001,,,,0,1,0.2938475310574204,0.0938018611912591,-0.40774064420868505,-6.581091662526295e-28,-0.407730954646619,575736836165.0261,0.5242868691821672,-0.5686977444532022,-2.6185899509096946,,,1.0836259
22,2017-02-01,15,B97HDW,-1.700989046,-2.224602521,0.097203255,0.41850951299999994,-1.6132349940000001,-2.212757775,0.23722734399999998,-9.073040407999999,-5.187526108999999,-7.061716689,-12.04885998,-6.86133387,-0.20034954,-0.294579469,0.664754384,4.879350692,-0.16353323,-0.932738781,3.817055208,-12.04885998,15.0,-1.2230581007999999,5.6282150690816515,-0.613659125,,,,1,1,0.40693914378588164,-0.08046775604202738,0.6423104092818592,3.2411033093542513e-19,0.6419411725958997,-279733877396.1357,0.5252435284191416,0.9084422535116301,1.866993477649383,,,0.2876695
23,2017-02-01,40,B9BS5G,2.305438777,1.069372354,-4.298266218,-2.7674595610000003,-7.036568468,2.928567962,8.415969903999999,-35.70650071,-8.67544877,-10.20456132,-9.491927937,-0.816479167,3.8261432889999996,1.279997143,21.22539997,18.45442295,0.418538199,0.5026020999999999,-2.619058965,-35.70650071,40.0,0.9405090766000003,14.696190157598094,0.46057014949999997,,,,1,1,0.3084122608803882,-2.5344353325678353,-0.680054399054085,1.3804833186949164e-159,-0.6804697602484682,256412715450.7102,0.5244626252296932,-3.0109945472863813,1.3288225814031536,,,-0.92206174
24,2017-02-01,30,BB6S59,-2.257078359,-2.1955586019999997,-0.729321039,-1.3134209159999999,-2.008840073,-3.851807857,2.056731559,3.0809555910000004,7.6545016829999994,17.3446978,5.500646771,-2.153854912,0.034896667,-0.46118905200000004,-0.965132573,2.0602999680000003,0.788229982,1.5651140209999999,3.12669797,-3.851807857,30.0,2.86382843145,7.92497516108728,0.41156332450000005,,,,0,1,0.3479318535603452,1.7073309226186564,-0.6504058713271479,-7.760235657425314e-35,-0.6497161677520362,1727262275034.988,0.5244322834324054,0.7416050622045192,-0.7679507299863009,,,-0.71133834
25,2017-02-01,30,BCD5LG,-0.5014851029999999,-0.07004922400000001,-0.9162733270000001,0.7624151690000001,3.9944477369999998,2.917990975,5.9231714239999995,12.40866569,-0.40869240100000004,-7.194650089,-6.831482822000001,-6.422790421,0.345576667,-0.0012424930000000001,-1.961569614,-8.716207701,-0.8323437579999999,0.566530228,-5.696510952000001,-8.716207701,30.0,0.86827499925,8.439828155477633,-0.23937081250000003,,,,1,1,0.4193514432220586,-1.0464145075187954,0.5608402639071877,-8.966231299473922e-25,0.5608829004520453,324513714047.33124,0.5236644876046969,0.9361303930296441,0.6557450246675225,,,0.4495707
26,2017-02-01,30,BCDBXM,-0.228976354,-2.547594712,0.013632811000000002,-1.8928606680000002,-1.43541157,-1.849323434,-3.203511217,2.624262501,2.058127286,0.72192962,-7.541093099999999,-9.599220387,-1.296493333,-3.1997894000000002,-0.5316533920000001,0.905298209,0.509177604,0.040366441,-0.8072852840000001,-9.599220387,30.0,0.1369790810500004,7.609152065439096,-0.6694693380000001,,,,0,0,0.35321711149174717,-0.16593185989400594,-0.03165972442169773,1.8218491985474488e-22,-0.03154653192492918,579109487552.4716,0.525801331680897,-0.3495333802494829,0.9054958582849358,,,0.8135235
27,2017-02-01,20,BCHWNY,1.331563146,3.466245645,6.475166292999999,4.8519611739999995,1.123667161,1.767960611,-3.753193397,-3.7563314510000003,-7.889859841,-3.6294227589999997,-6.07448097,1.8153788709999998,0.399716295,1.775126341,3.706476635,3.92444138,-0.65486195,-3.031282425,-0.17503375399999999,-7.889859841,20.0,1.0836618502500004,5.831273633192919,1.2276151535,,,,1,0,0.4528377742407651,0.38575589492071616,1.7729100225793986,1.8747421123097974e-23,1.7721651333330244,188355830135.44278,0.5257792802784687,-0.560259584826416,2.8246046694411717,,,-1.8641567
28,2017-02-01,40,BDJQCT,4.525441683,7.343215712999999,5.448405666,0.16463592300000002,1.6234727080000002,3.161720867,8.678517178,3.925978712,4.5396903989999995,-2.486358352,-3.6223202660000005,-8.162010665,-1.651116711,-0.304070626,0.5156248410000001,-1.206637902,-0.286575641,-0.396784067,-15.96731438,-15.96731438,40.0,2.292175754,10.434409061350548,0.340130382,,,,0,1,0.3722077155952227,-2.9754185516535023,0.28620705506972155,-1.8205800334218705e-34,0.2861142353209494,934380437892.627,0.5244484041967047,-1.370254832955382,-0.28723104992559617,,,0.5231273
29,2017-02-01,15,BDMWDS,-2.011015801,-1.496656145,-0.746160108,-1.53445451,-6.406036293,-9.953908062,-0.103726449,43.605978,4.070905208,10.39715707,48.49643492,44.42552971,11.25757046,10.590728,23.70952939,19.73535768,1.267817159,0.8092913629999999,-3.3777226280000003,-9.953908062,48.49643492,10.386830948200002,17.430280497494117,2.6693611835,,,,1,1,0.6202324675885502,-7.276764274057161,3.574084828860464,0.0,3.5742565937485344,1461284421892.567,0.5244626252296932,-0.4761235895322415,-1.061983457122877,,,-54.230625
30,2017-02-01,30,BFMGRH,0.368801815,-0.356492886,1.319871816,2.26744141,3.67457385,5.37287718,0.85012746,-8.089914533,-14.51886169,-21.83108742,-19.60971265,-5.0908509539999995,1.876006667,1.739649407,0.9309676920000001,1.546324066,-0.659327378,-0.587931633,-0.30067648199999997,-21.83108742,30.0,-1.05491071315,10.518042535574248,0.6094646374999999,,,,1,0,0.4206376752603589,-2.2663847048589827,0.6655206884163851,1.2077787395237318e-23,0.6654507053818832,-785322802313.5936,0.5245231629870398,0.6571016381472279,-0.04054487244554471,,,0.23920009
31,2017-02-01,40,BFS7VZ,-2.013709402,-3.326404143,-1.003271264,2.542267656,3.283300984,2.54304441,5.73054452,-1.655996271,3.326520789,6.628531793,21.58328762,18.25676683,-1.3194767109999999,-0.454427643,0.319886732,-0.27403112,-1.246859158,-0.08243012400000001,0.865325267,-3.326404143,40.0,4.685143538250001,10.500609182944352,0.5926059995,,,,0,0,0.4148411139095165,-0.03465569898546772,0.6265719261858276,6.268942906641307e-31,0.6263499613145819,1632362304965.276,0.5245369063801891,3.878050930409785,0.2973902299267238,,,0.32111496
32,2017-02-01,40,BGRLRG,1.5107206340000001,0.30073128,-2.70502555,-6.285910577,-8.06995344,-6.852769557999999,-12.25263839,-18.14727734,-12.24599073,-11.98279113,-9.515246685,2.730744045,0.596053289,-1.145672422,-1.649057711,-1.7281004480000002,0.7241358179999999,0.50182581,-1.4790766780000002,-18.14727734,40.0,-2.38476498915,11.536855777271617,-1.6885790795000002,,,,1,0,0.3252911687287906,-1.7978033681030472,0.19742277325254287,3.866520462510359e-43,0.19730754867689615,-49854401404.5539,0.524464216398135,-1.2140397288607356,3.4118542080926844,,,0.4744229
